id,black_fruit,citrus_fruit,dried_fruit,earth,floral,microbio,non_oak,oak,red_fruit,spices,tree_fruit,tropical_fruit,vegetal
23337,1,,,1,,,,1,,,,,
23366,1,,,1,,,,1,,,,,
23627,1,,,1,,,,1,,,,,
23769,2,,,2,,,,2,,,,,
23793,1,,,1,,,,1,,,,,
23815,1,,,1,,,,1,,,,,
24056,1,,,,,,,1,,1,,,
24104,,,,1,,,,1,1,,,,
24109,,,,1,,,,1,1,,,,
24138,,1,,,,,,1,,,1,,
24139,,1,,,,,,1,,,1,,
24984,1,,,1,,,,1,,,,,
25474,1,,,1,,,,1,,,,,
27234,1,,,,,,,1,,1,,,
28214,1,,,1,,,,1,,,,,
31124,1,,,,,,,1,,1,,,
33284,,,1,,,,1,1,,,,,
33734,,,,1,,,,1,1,,,,
35374,1,,,,,,,1,1,,,,
43974,1,,,1,,,,1,,,,,
43984,1,,,1,,,,1,,,,,
43994,1,,,,,,,1,1,,,,
45284,1,,,1,,,,1,,,,,
48314,1,,,1,,,,1,,,,,
48994,1,,,1,,,,1,,,,,
50644,,1,,1,,,,,,,1,,
51734,1,,,1,,,,1,,,,,
51934,1,,,1,,,,1,,,,,
52044,1,,,1,,,,1,,,,,
52084,1,,,1,,,,1,,,,,
52094,1,,,1,,,,1,,,,,
52104,,,,,,,,1,,,1,1,
53034,1,,,1,,,,1,,,,,
54214,,,,1,,,,1,1,,,,
54254,,,,1,,1,,1,,,,,
58884,1,,,1,,,,1,,,,,
59754,1,,,1,,,,1,,,,,
60984,1,,,,,,,1,1,,,,
61034,,1,,,,,,,1,,1,,
61134,,,,1,,,,1,1,,,,
61744,1,,,1,,,,1,,,,,
61754,1,,,1,,,,1,,,,,
62594,1,,,1,,,,1,,,,,
65114,,,,1,,,,1,1,,,,
66104,,,,1,,,,1,1,,,,
66134,,,,1,,,,1,1,,,,
66164,,,,1,,,,1,1,,,,
66184,1,,,1,,,,1,,,,,
66194,1,,,1,,,,1,,,,,
66204,,1,,1,,,,1,,,,,
66214,,,,1,,,,1,1,,,,
66224,1,,,1,,,,1,,,,,
66294,1,,,1,,,,1,,,,,
66314,1,,,,,,,1,1,,,,
66494,1,,,,,,,1,,1,,,
67054,1,,,,,,,1,1,,,,
67074,1,,,,,,,1,1,,,,
68824,1,,,1,,,,1,,,,,
68834,1,,,,,,,1,1,,,,
68844,1,,,,,,,1,1,,,,
68854,1,,,,,,,1,1,,,,
68864,,,,,,,,1,,,1,1,
68874,1,,,1,,,,1,,,,,
68884,1,,,1,,,,1,,,,,
68894,1,,,,,,,1,,1,,,
68904,1,,,,,,,1,1,,,,
68924,,,,,,,,1,,,1,1,
69154,1,,,,,,,1,1,,,,
69744,1,,1,,,,,1,,,,,
71264,1,,,1,,,,1,,,,,
71274,1,,,1,,,,1,,,,,
71304,1,,,,,,,1,,1,,,
72624,1,,,1,,,,1,,,,,
73478,2,,,2,,,,2,,,,,
73555,1,,,1,,,,1,,,,,
73593,1,,,,,,,1,,1,,,
73620,,,,1,,,,1,1,,,,
74298,,1,,,,,1,,,,1,,
74299,,1,,,,,1,,1,,,,
74304,,1,,,,,1,,,,1,,
74306,,1,,,,,1,,,,1,,
74336,,1,,,,,,1,,,1,,
74337,1,,,1,,,,1,,,,,
74338,1,,,1,,,,1,,,,,
74339,,,,1,,,,1,1,,,,
74346,1,,,1,,,,1,,,,,
74578,1,,,,,,,1,1,,,,
74704,1,,,1,,,,1,,,,,
75238,1,,,1,,,,1,,,,,
75588,,,,1,,,,1,,,,1,
75780,1,,,1,,,,1,,,,,
75818,1,,,1,,,,1,,,,,
75975,1,,,1,,,,1,,,,,
75978,1,,,1,,,,1,,,,,
76372,,,1,,,,1,1,,,,,
76388,,,1,,,,1,1,,,,,
76410,1,,,1,,,,1,,,,,
76429,1,,,1,,,,1,,,,,
76431,1,,,1,,,,1,,,,,
76432,1,,,1,,,,1,,,,,
76435,,,,1,,,,1,,,1,,
76439,1,,,1,,,,1,,,,,
76442,1,,,1,,,,1,,,,,
77136,1,,,1,,,,1,,,,,
77137,1,,,1,,,,1,,,,,
77171,1,,,1,,,,1,,,,,
77172,1,,,1,,,,1,,,,,
77247,1,,,1,,,,1,,,,,
77304,,,,1,,,,1,,1,,,
77305,,,,1,,,,1,1,,,,
77427,,,,1,,,,1,1,,,,
77447,,,,1,,,,1,1,,,,
77448,,,,1,,,,1,1,,,,
77487,,,,1,,,,1,1,,,,
77491,,,,1,,,,1,1,,,,
77558,1,,,1,,,,1,,,,,
77560,1,,,1,,,,1,,,,,
77748,,,,1,,,,1,1,,,,
77756,,,,1,,,,1,1,,,,
77783,,,,1,,,,,,,1,1,
77816,1,,,1,,,,1,,,,,
77888,1,,,1,,,,1,,,,,
78383,1,,,,,,,1,1,,,,
78778,,1,,,,,,1,,,1,,
79160,,1,,,,,1,,,,1,,
79230,,,,1,,,,1,1,,,,
79262,1,,,1,,,,1,,,,,
79265,1,,,1,,,,1,,,,,
79266,1,,,1,,,,1,,,,,
79269,1,,,1,,,,1,,,,,
79273,1,,,1,,,,1,,,,,
79282,1,,,1,,,,1,,,,,
79537,,1,,1,,,,,,,1,,
79604,,,,1,,,,1,1,,,,
79631,,,,1,,,1,,,,1,,
79632,,1,,,,,1,,1,,,,
79635,,1,,1,,,1,,,,,,
79762,1,,,1,,,,1,,,,,
79814,1,,,1,,,,1,,,,,
79836,,,,1,,,1,,,,1,,
79852,,1,,1,,,,,1,,,,
79929,1,,,1,,,,,1,,,,
79970,,,,1,,,,1,1,,,,
79976,1,,,1,,,,,,1,,,
80045,1,,,1,,,,1,,,,,
80226,1,,,,,,,1,,1,,,
80415,1,,1,,,,,1,,,,,
80472,1,,,1,,,,1,,,,,
81171,,,1,,,,1,1,,,,,
81650,1,,,1,,,,1,,,,,
81651,1,,,1,,,,1,,,,,
81732,,1,,1,,,,,,,1,,
81848,1,,,1,,,,1,,,,,
81849,1,,,1,,,,1,,,,,
81864,1,,,1,,,,1,,,,,
81907,1,,,1,,,,1,,,,,
81980,1,,,1,,,,1,,,,,
81986,1,,,1,,,,1,,,,,
82193,1,,,1,,,,1,,,,,
82235,1,,,1,,,,1,,,,,
82469,1,,,1,,,,1,,,,,
82613,1,,,1,,,,1,,,,,
82698,,,,1,,,,1,1,,,,
82700,,,,1,,,,1,1,,,,
82779,,1,,1,,,,1,,,,,
82825,1,,,,,,,1,,1,,,
83265,,,,,,,,1,,,1,1,
83283,1,,,,,,,1,1,,,,
83439,1,,,1,,,,1,,,,,
83446,,,,1,,,,1,1,,,,
83594,1,,,1,,,,1,,,,,
83732,1,,1,,,,,1,,,,,
83817,,1,,,,,1,,,,1,,
83999,1,,,1,,,,1,,,,,
84062,1,,,1,,,,1,,,,,
84065,1,,,1,,,,1,,,,,
84066,1,,,,,,,1,1,,,,
84068,,,,1,,,,1,1,,,,
84287,1,,,1,,,,1,,,,,
84581,1,,,1,,,,1,,,,,
84726,1,,,1,,,,1,,,,,
84727,1,,,1,,,,1,,,,,
84775,,,,1,,,,1,1,,,,
85063,,,,1,,,,1,1,,,,
86362,1,,,1,,,,1,,,,,
86373,1,,,1,,,,1,,,,,
86683,1,,,,,,,1,1,,,,
86684,,1,,,,,1,,,,1,,
86698,,1,,1,,,,,,,1,,
86699,,1,,1,,,,,,,1,,
86732,1,,,1,,,,1,,,,,
86847,1,,,1,,,,1,,,,,
86868,,,,1,,,,1,1,,,,
86870,,,,1,,,,1,1,,,,
86967,1,,,,,,,1,1,,,,
87095,,,,1,,,,1,,1,,,
87102,,,,1,,,,1,1,,,,
87114,,,,1,,,,1,1,,,,
87358,1,,,1,,,,1,,,,,
87426,1,,,1,,,,1,,,,,
87659,1,,,1,,,,1,,,,,
87693,,1,,,,,,1,,,,1,
89013,1,,,1,,,,1,,,,,
89025,1,,,1,,,,1,,,,,
89390,1,,,,,,,1,1,,,,
91182,,,,1,,,,1,1,,,,
91969,1,,,1,,,,1,,,,,
92001,1,,,1,,,,1,,,,,
94320,1,,,1,,,,1,,,,,
94678,,,,1,,,,1,,,1,,
94686,,,,1,,,,1,1,,,,
94690,,1,,,,,,1,,,1,,
94695,1,,,1,,,,1,,,,,
94968,,,,1,,,,1,1,,,,
95444,1,,,1,,,,1,,,,,
96030,1,,,1,,,,1,,,,,
96483,1,,,,,,,1,,1,,,
96488,1,,,,,,,1,,1,,,
96853,1,,,1,,,,1,,,,,
97051,1,,,1,,,,1,,,,,
97228,,1,,,,,,1,,,1,,
97447,,,,1,,,,,1,1,,,
97710,,,,1,,,,,1,1,,,
98166,1,,,1,,,,1,,,,,
98195,1,,,1,,,,1,,,,,
98838,1,,,1,,,,1,,,,,
99398,,,,1,,,,1,1,,,,
99399,,,,1,,,,1,1,,,,
100492,,1,,1,,,,,,,1,,
736114,1,,,1,,,,1,,,,,
736563,1,,,1,,,,1,,,,,
736588,1,,,1,,,,1,,,,,
738148,1,,,1,,,,1,,,,,
778938,1,,,1,,,,1,,,,,
779086,1,,,,,,,1,1,,,,
779372,,,,1,,,,1,1,,,,
779426,1,,,1,,,,1,,,,,
809810,1,,,1,,,,1,,,,,
825162,,,,1,,,,1,1,,,,
1084122,1,,,1,,,,1,,,,,
1084452,1,,,1,,,,1,,,,,
1098770,1,,,1,,,,1,,,,,
1098912,,,,1,,,,1,1,,,,
1098981,1,,,1,,,,1,,,,,
1099118,,,,1,,,,1,1,,,,
1099392,1,,1,,,,,1,,,,,
1099398,1,,,1,,,,1,,,,,
1099538,1,,,1,,,,1,,,,,
1099897,1,,,1,,,,1,,,,,
1100223,1,,,1,,,,1,,,,,
1100254,1,,,1,,,,1,,,,,
1100670,1,,,1,,,,1,,,,,
1101061,,,,1,,,,1,1,,,,
1101112,1,,,1,,,,1,,,,,
1102091,,,,1,,,,1,1,,,,
1103309,,1,,1,,,,,,,1,,
1104824,,1,,,,,,,1,,1,,
1105366,1,,,1,,,,1,,,,,
1105367,,,,1,,,,1,,,1,,
1107336,1,,,1,,,,1,,,,,
1107342,1,,,1,,,,1,,,,,
1108063,1,,,1,,,,1,,,,,
1110329,1,,,1,,,,1,,,,,
1115658,1,,,1,,,,1,,,,,
1117020,,,,1,,,,1,1,,,,
1122092,,1,,,,,,,1,,1,,
1122095,,1,,,,,1,,,,1,,
1123336,1,,,,,,,1,1,,,,
1125543,1,,,1,,,,1,,,,,
1125591,1,,,,,,,1,,1,,,
1126091,,,,1,,,,1,1,,,,
1126470,1,,,1,,,,1,,,,,
1126475,1,,,,,,,1,1,,,,
1126740,1,,,1,,,,1,,,,,
1126750,1,,,1,,,,1,,,,,
1126909,,1,,1,,,,,,,1,,
1126922,1,,,,,,,1,,1,,,
1126954,1,,,1,,,,1,,,,,
1126964,1,,,1,,,,1,,,,,
1127494,1,,,1,,,,1,,,,,
1127795,1,,,1,,,,1,,,,,
1127808,,1,,1,,,1,,,,,,
1127871,,,,,,,,1,,,1,1,
1128252,1,,,1,,,,1,,,,,
1128385,,1,,,,,1,,,,1,,
1128831,1,,,1,,,,1,,,,,
1129143,,,,1,,,,1,1,,,,
1129282,1,,,1,,,,1,,,,,
1129305,1,,,1,,,,1,,,,,
1129440,1,,,,,,,1,1,,,,
1129509,,,,1,,,,1,1,,,,
1129619,,1,,,,,1,,,,1,,
1130386,,,,1,,,,1,1,,,,
1131351,1,,,1,,,,1,,,,,
1132381,1,,,,,,,1,,1,,,
1132696,1,,,1,,,,1,,,,,
1132828,1,,,,,,,1,1,,,,
1133074,1,,,1,,,,1,,,,,
1133677,1,,,,,,,1,1,,,,
1133882,,,,1,,,,1,1,,,,
1134068,1,,,1,,,,1,,,,,
1134189,,,1,1,,,,1,,,,,
1134660,1,,,1,,,,1,,,,,
1134685,1,,,1,,,,1,,,,,
1135069,1,,,1,,,,1,,,,,
1135081,1,,,1,,,,1,,,,,
1135113,1,,,,,,,1,,1,,,
1135138,,,,,,,,1,,,1,1,
1135414,1,,,1,,,,1,,,,,
1135641,1,,,1,,,,1,,,,,
1135843,1,,,1,,,,1,,,,,
1136168,1,,,,,,,1,1,,,,
1136381,1,,,1,,,,1,,,,,
1136945,1,,,,,,,1,1,,,,
1136951,,,,1,,,,1,1,,,,
1137244,1,,,1,,,,1,,,,,
1137682,,1,,1,,,,,,,1,,
1137736,,1,,,,,1,,,,1,,
1138006,1,,,,,,,1,,1,,,
1138658,1,,,1,,,,1,,,,,
1138731,,1,,,,,,1,,,1,,
1139120,1,,,1,,,,1,,,,,
1139122,1,,,1,,,,1,,,,,
1139434,1,,,1,,,,1,,,,,
1140747,,,1,1,,,,,,,1,,
1141123,,1,,,,,1,,,,1,,
1141133,,1,,,,,1,,1,,,,
1141447,1,,1,,,,,1,,,,,
1141907,1,,,,,,,1,1,,,,
1142212,,1,,,,,1,,1,,,,
1142314,1,,,1,,,,1,,,,,
1143613,,1,,,,,1,,,,1,,
1143934,1,,,,,,,1,,1,,,
1143938,1,,,1,,,,1,,,,,
1144799,,,,1,,,,1,1,,,,
1145046,1,,,1,,,,1,,,,,
1145628,,,1,,,,1,1,,,,,
1146329,1,,,,,,,1,1,,,,
1147563,,,1,,,,1,1,,,,,
1148035,1,,,1,,,,1,,,,,
1148298,,1,,,,,1,,1,,,,
1148747,1,,,1,,,,1,,,,,
1148822,1,,,1,,,,1,,,,,
1148839,1,,,1,,,,1,,,,,
1148844,1,,,1,,,,1,,,,,
1150378,1,,,1,,,,1,,,,,
1151102,,,,,,,,,,,,,
1151307,1,,,,,,,1,1,,,,
1151389,,1,,,,,,1,,,1,,
1151533,1,,,1,,,,1,,,,,
1151960,,,,1,,,,1,1,,,,
1152015,,,,1,,,,1,1,,,,
1152417,1,,,1,,,,1,,,,,
1152435,,1,,,,,1,,1,,,,
1152438,1,,,1,,,,1,,,,,
1152755,1,,,1,,,,1,,,,,
1152839,1,,,,,,,1,1,,,,
1153153,,1,,1,,,,,,,1,,
1153175,,1,,1,,,,,,,,1,
1153455,1,,,1,,,,1,,,,,
1153456,1,,,,,,,1,1,,,,
1153457,1,,,,,,,1,1,,,,
1153459,1,,,,,,,1,,1,,,
1153463,,,,,,,,1,,,1,1,
1153464,,,,1,,,,1,1,,,,
1153679,,,1,,,,1,1,,,,,
1153863,,,,1,,,,1,,,1,,
1154226,,,1,1,,,,1,,,,,
1154913,1,,,1,,,,1,,,,,
1155151,1,,,1,,,,1,,,,,
1155153,1,,,1,,,,1,,,,,
1155203,1,,,1,,,,1,,,,,
1155335,1,,,1,,,,1,,,,,
1155355,,,1,,,,1,1,,,,,
1155880,1,,,1,,,,1,,,,,
1155884,1,,,,,,,1,1,,,,
1157035,1,,,1,,,,1,,,,,
1157787,,1,,,,,,1,,,1,,
1158237,1,,,,,,,1,1,,,,
1158525,,1,,,,,,,,,1,1,
1159473,,,,1,,,,1,1,,,,
1159489,,,,1,,,,1,1,,,,
1159878,1,,,,,,,1,1,,,,
1160459,,1,,1,,,,,,,1,,
1160644,,,,1,,,,1,1,,,,
1160653,1,,,,,,,1,1,,,,
1161252,,1,,,,,,,,1,1,,
1161268,1,,,1,,,,1,,,,,
1162214,1,,,1,,,,1,,,,,
1162271,1,,,,,,,1,1,,,,
1162673,1,,,1,,,,1,,,,,
1163782,1,,,1,,,,1,,,,,
1163819,,1,,,,,1,,,,1,,
1163903,1,,,1,,,,1,,,,,
1163924,1,,,1,,,,1,,,,,
1164787,1,,,1,,,,1,,,,,
1165142,,1,,1,,,,,,,1,,
1165226,1,,,1,,,,,1,,,,
1165262,1,,,,,,,1,1,,,,
1165304,1,,1,,,,,1,,,,,
1165601,1,,,1,,,,1,,,,,
1165708,,,,1,,,,1,1,,,,
1166231,1,,,1,,,,1,,,,,
1166363,1,,,1,,,,1,,,,,
1166468,1,,1,,,,,1,,,,,
1166687,,1,,1,,,,,,,1,,
1166785,1,,,1,,,,1,,,,,
1166837,1,,,1,,,,1,,,,,
1166924,,,,1,,,,1,1,,,,
1166949,1,,,,,,,1,1,,,,
1168278,1,,,1,,,,1,,,,,
1168529,1,,,1,,,,1,,,,,
1168676,1,,,1,,,,1,,,,,
1169092,,,,1,,,,1,1,,,,
1169521,1,,,1,,,,1,,,,,
1169875,1,,,,,,,1,1,,,,
1170177,1,,,,,,,1,,1,,,
1170521,,,,1,,,,1,1,,,,
1171483,,,,1,,,,1,1,,,,
1171810,1,,,,,,,1,1,,,,
1172025,1,,,1,,,,1,,,,,
1172272,1,,,1,,,,1,,,,,
1172675,1,,,,,,,1,1,,,,
1172948,,1,,1,,,,,,,1,,
1173140,1,,,1,,,,1,,,,,
1173806,,1,,,,,,1,,,1,,
1173985,,,,1,,,,1,1,,,,
1174525,,,,1,,,,1,1,,,,
1174627,1,,,,,,,1,,1,,,
1174918,,,,1,,,,1,1,,,,
1174924,,1,,1,,,,,,,1,,
1175156,,,,1,,,,1,1,,,,
1175180,1,,,1,,,,1,,,,,
1175427,1,,,1,,,,1,,,,,
1175699,,1,,1,,,,,,,1,,
1176121,,1,,1,,,,,,,1,,
1176258,1,,,1,,,,1,,,,,
1176871,1,,,,,,,1,,1,,,
1177331,1,,,1,,,,1,,,,,
1178080,1,,,,,1,,1,,,,,
1178254,,,,1,,,,1,1,,,,
1178261,1,,,1,,,,,1,,,,
1178394,,1,,1,,,,,,,1,,
1178395,,1,,,,,,1,,,1,,
1178520,,,,1,,,,1,1,,,,
1178663,,1,,,,,1,,,,1,,
1178883,1,,,1,,,,1,,,,,
1179446,,1,,,,,,1,,,1,,
1179539,1,,,1,,,,1,,,,,
1179830,1,,,,,,,1,,1,,,
1180025,,1,,,,,,1,,,1,,
1180132,,,1,,,,1,1,,,,,
1181021,1,,,,,,,1,1,,,,
1181122,1,,,,,,,1,,1,,,
1181214,1,,,1,,,,1,,,,,
1181746,1,,,,,,,1,1,,,,
1182136,1,,,1,,,,1,,,,,
1182177,1,,,,,,,1,,1,,,
1184728,1,,,1,,,,1,,,,,
1184921,1,,,,,,,1,1,,,,
1185290,1,,,,,,,1,,1,,,
1185924,,,,1,,,,1,1,,,,
1186083,1,,,,,,,1,,1,,,
1186732,1,,,,,,,1,,1,,,
1186911,1,,,1,,,,1,,,,,
1187744,,,1,,,,1,1,,,,,
1188236,,,,1,,,,1,1,,,,
1188603,,,,1,,,,1,1,,,,
1188738,1,,,1,,,,1,,,,,
1189311,,,,1,,,,1,,,1,,
1189758,,,1,,,,1,1,,,,,
1189822,,,1,,,,1,1,,,,,
1190334,,,1,,,,1,1,,,,,
1190501,1,,,1,,,,1,,,,,
1190556,1,,,1,,,,1,,,,,
1190565,1,,,,,,,1,,1,,,
1190881,,,,1,,,,1,1,,,,
1191278,,1,,,,,1,,,,1,,
1191462,,1,,1,,,,,,,1,,
1191976,,,,1,,,,1,1,,,,
1192486,1,,,,,,,1,,1,,,
1192837,1,,,1,,,,1,,,,,
1194180,,,,1,,,,1,1,,,,
1194752,,,1,,,,1,1,,,,,
1196206,1,,,,,,,1,,1,,,
1196474,1,,,,,,,1,1,,,,
1197391,1,,,,,,,1,1,,,,
1198198,1,,,1,,,,1,,,,,
1198583,1,,,1,,,,1,,,,,
1198682,,1,,1,,,1,,,,,,
1198913,1,,,,,,,1,1,,,,
1198951,1,,,1,,,,1,,,,,
1199944,1,,,1,,,,1,,,,,
1200744,1,,,,,,,1,1,,,,
1201755,1,,,1,,,,1,,,,,
1201765,1,,,,,,,1,,1,,,
